datetime,q_kfz_mq_hr,v_kfz_mq_hr,"Feinstaub (PM2,5)",LUFTTEMPERATUR,REL_FEUCHTE,NIEDERSCHLAGSHOEHE,WINDGESCHWINDIGKEIT,SONNENSCHEINDAUER,mean_q,min_q,max_q,std_q,skew_q,kurt_q,mean_v,min_v,max_v,std_v,skew_v,kurt_v,q_kfz_lag1,q_kfz_lag2,q_kfz_lag3,q_kfz_lag6,q_kfz_lag12,q_kfz_lag24,v_kfz_lag1,v_kfz_lag2,v_kfz_lag3,v_kfz_lag6,v_kfz_lag12,v_kfz_lag24,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,winddir_cos,winddir_sin
2022-09-14 00:00:00,119.0,46.0,12.0,15.2,74.0,0.0,11.2,0.0,173.83116883116884,22.0,2698.0,229.53735239898828,8.860504164646466,96.48362318050549,43.77922077922078,5.0,89.0,9.582286731083013,0.3049219848609609,4.856490423100403,212.0,330.0,435.0,1053.0,937.0,132.0,54.0,51.0,50.0,46.0,43.0,51.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.6427876096865393,-0.7660444431189781
2022-09-14 01:00:00,90.5,49.0,8.0,14.6,76.0,0.0,10.6,0.0,138.03356225945114,10.761609907120743,1279.325077399381,149.0842279080284,4.335522095695545,34.71781594895666,44.86928303614943,11.575851393188854,74.24767801857585,9.582164730202313,-0.3706274513871471,2.025653909166115,119.0,212.0,330.0,803.0,1142.0,100.0,46.0,54.0,51.0,48.0,47.0,57.0,0.2697967711570243,0.9629172873477992,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.6427876096865393,-0.7660444431189781
2022-09-14 02:00:00,62.0,52.0,9.0,14.2,78.0,0.0,9.0,0.0,109.97413793103448,19.0,2487.0,229.24099569655087,9.862837987809408,102.83736486037483,42.810344827586206,6.0,72.0,8.704735136298144,-0.6778210633606887,3.2808610324277567,90.5,119.0,212.0,658.0,1192.0,85.0,49.0,46.0,54.0,48.0,46.0,58.0,0.5195839500354336,0.8544194045464886,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-14 03:00:00,134.5,57.5,8.0,13.8,81.0,0.0,8.3,0.0,106.54455445544555,16.0,1740.0,176.44492198714445,8.151681787301456,75.01965291630512,44.148514851485146,7.0,76.0,10.087998947872526,-0.1563498400867259,2.4488628240288945,62.0,90.5,119.0,435.0,1200.0,214.0,52.0,49.0,46.0,50.0,47.0,84.0,0.730835964278124,0.6825531432186541,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-14 04:00:00,207.0,63.0,9.0,13.5,83.0,0.0,9.3,0.0,141.796992481203,17.0,1048.0,126.70484429035807,3.5843882077048184,20.23433964740882,45.526315789473685,6.0,79.0,9.565229762774809,-0.36336145448589113,2.3666111194581387,134.5,62.0,90.5,330.0,1113.5,339.0,57.5,52.0,49.0,51.0,49.0,59.0,0.8878852184023752,0.4600650377311522,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-14 05:00:00,682.0,61.0,11.0,13.4,83.0,0.0,8.6,0.0,327.87861271676303,20.0,1785.0,278.9472365176879,2.0046317448414714,5.530164661759245,45.27745664739884,6.0,71.0,9.505409133544687,-0.408685376172936,1.408423337921211,207.0,134.5,62.0,212.0,1027.0,961.0,63.0,57.5,52.0,54.0,51.0,53.0,0.9790840876823228,0.20345601305263397,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-14 06:00:00,1304.0,69.0,10.0,13.7,81.0,0.0,8.5,0.0,548.1297297297298,23.0,1898.0,369.24303359892866,1.1856905711127852,1.7159576729489698,43.454054054054055,11.0,85.0,10.57372138931234,0.2329162190513752,2.151828184883362,682.0,207.0,134.5,119.0,1053.0,1253.0,61.0,63.0,57.5,46.0,46.0,40.0,0.9976687691905392,-0.06824241336467088,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-14 07:00:00,1273.3333333333333,61.666666666666664,12.0,14.1,80.0,0.0,7.7,0.0,687.1658031088083,27.0,2054.0,396.9508306446553,0.6450026214873489,0.5962656724969131,40.94818652849741,14.0,80.0,10.59222441455803,0.31719216747512785,1.5088598648172193,1304.0,682.0,207.0,90.5,803.0,1477.0,69.0,61.0,63.0,49.0,48.0,62.0,0.9422609221188205,-0.33487961217098616,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-14 08:00:00,1242.6666666666667,54.33333333333333,14.0,15.5,74.0,0.0,6.5,0.0,754.8680203045685,22.0,2380.0,407.1609179485849,0.49768982999326516,0.6441776993078836,39.41624365482234,2.0,85.0,11.732535440334146,0.11848006381654207,1.9668116948511214,1273.3333333333333,1304.0,682.0,62.0,658.0,1422.75,61.666666666666664,69.0,61.0,52.0,48.0,60.0,0.8169698930104421,-0.5766803221148671,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.342020143325669,-0.9396926207859083
2022-09-14 09:00:00,1212.0,47.0,12.0,17.2,65.0,0.0,5.0,37.0,686.2397959183673,38.0,1897.0,355.2011761472201,0.37518843052725204,0.18315908771568568,40.26020408163265,2.0,85.0,11.498434585057874,-0.2278813753728236,2.2440008315134876,1242.6666666666667,1273.3333333333333,1304.0,134.5,435.0,1368.5,54.33333333333333,61.666666666666664,69.0,57.5,50.0,58.0,0.631087944326053,-0.7757112907044197,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.342020143325669,-0.9396926207859083
